date,areaCode,cumCasesBySpecimenDate,newCasesBySpecimenDate
29/12/2020,E09000029,8321,514
29/12/2020,W06000014,5154,168
29/12/2020,E08000022,8228,107
29/12/2020,E06000013,6168,84
29/12/2020,E09000020,5007,203
29/12/2020,E06000030,6050,282
29/12/2020,E09000017,13202,661
29/12/2020,E08000015,12510,415
29/12/2020,W06000008,1254,41
29/12/2020,E06000007,10454,255
29/12/2020,E09000015,10878,449
29/12/2020,S12000027,120,11
29/12/2020,W06000016,17310,296
29/12/2020,S12000048,2388,69
29/12/2020,E08000004,16796,116
29/12/2020,E09000030,16709,823
29/12/2020,E06000021,12846,165
29/12/2020,E06000057,11357,273
29/12/2020,S12000011,2881,82
29/12/2020,E08000010,19457,303
29/12/2020,E06000038,5283,207
29/12/2020,E06000010,13054,192
29/12/2020,E06000047,24426,528
29/12/2020,E10000007,27918,547
29/12/2020,E08000033,9741,108
29/12/2020,W06000015,19683,407
29/12/2020,E10000025,17861,899
29/12/2020,S12000013,97,3
29/12/2020,E06000009,6293,73
29/12/2020,E08000011,8992,199
29/12/2020,E09000009,14733,664
29/12/2020,S12000049,24952,405
29/12/2020,E10000015,40259,2365
29/12/2020,E06000035,17065,702
29/12/2020,E10000024,31207,631
29/12/2020,E06000059,4865,210
29/12/2020,E10000006,14248,545
29/12/2020,E08000027,14315,369
29/12/2020,E08000023,7696,171
29/12/2020,E10000002,16279,868
29/12/2020,E10000018,26330,488
29/12/2020,E08000017,14980,229
29/12/2020,E06000034,10327,564
29/12/2020,E06000008,11772,184
29/12/2020,E08000037,9384,187
29/12/2020,E10000011,15200,1024
29/12/2020,E09000031,14043,679
29/12/2020,E06000042,10479,584
29/12/2020,E06000015,10613,307
29/12/2020,E09000033,7844,304
29/12/2020,E06000024,5891,160
29/12/2020,E08000003,35961,350
29/12/2020,E06000043,7104,413
29/12/2020,E06000033,8222,448
29/12/2020,E09000027,6302,242
29/12/2020,E08000012,27886,541
29/12/2020,E10000012,61466,3667
29/12/2020,S12000041,1616,53
29/12/2020,E09000012,12437,590
29/12/2020,E09000008,15551,864
29/12/2020,S12000019,1900,38
29/12/2020,E10000029,13910,757
29/12/2020,E09000016,16979,700
29/12/2020,E09000011,11433,720
29/12/2020,E08000030,12818,385
29/12/2020,E06000016,22264,337
29/12/2020,E10000027,9859,459
29/12/2020,E10000020,19110,982
29/12/2020,E08000031,12357,430
29/12/2020,E06000002,7170,168
29/12/2020,E06000017,734,21
29/12/2020,E08000005,14838,137
29/12/2020,E06000032,10173,410
29/12/2020,E10000016,71840,3019
29/12/2020,E08000001,17262,166
29/12/2020,E06000049,12334,339
29/12/2020,E09000024,8646,488
29/12/2020,E08000013,9045,188
29/12/2020,E10000032,18268,1323
29/12/2020,E10000023,17614,426
29/12/2020,E10000021,22734,881
29/12/2020,E10000014,30806,1660
29/12/2020,E06000036,3743,229
29/12/2020,E09000002,12483,742
29/12/2020,E09000022,12717,653
29/12/2020,E06000003,5547,113
29/12/2020,E06000012,6071,57
29/12/2020,E06000045,6550,390
29/12/2020,E10000003,12835,804
29/12/2020,E08000025,54731,1421
29/12/2020,E06000050,12286,423
29/12/2020,E06000056,8307,524
29/12/2020,E09000025,18507,1042
29/12/2020,E06000041,4533,187
29/12/2020,E06000052,6101,435
29/12/2020,E10000008,12347,370
29/12/2020,E09000014,11291,623
29/12/2020,E06000023,18959,386
29/12/2020,E09000032,12368,542
29/12/2020,E09000021,7086,320
29/12/2020,E06000011,12294,157
29/12/2020,E09000003,16202,867
29/12/2020,E09000018,11563,572
29/12/2020,E06000001,5535,154
29/12/2020,E08000026,12278,354
29/12/2020,E09000007,7777,378
29/12/2020,E10000031,17793,560
29/12/2020,E06000058,10401,484
29/12/2020,E06000018,20057,237
29/12/2020,E09000004,13049,666
29/12/2020,E08000035,41652,469
29/12/2020,E06000054,7961,329
29/12/2020,E10000034,15634,535
29/12/2020,E06000004,9729,202
29/12/2020,E09000023,11090,728
29/12/2020,E06000039,7396,333
29/12/2020,E08000006,15462,185
29/12/2020,E08000024,13600,280
29/12/2020,E06000019,3567,123
29/12/2020,E10000017,60133,1030
29/12/2020,E09000028,11793,698
28/12/2020,N09000001,4555,96
28/12/2020,N09000006,3385,94
28/12/2020,N09000008,4376,137
28/12/2020,W06000011,13748,160
28/12/2020,N09000007,4587,99
28/12/2020,S12000014,2690,57
28/12/2020,N09000011,3215,50
28/12/2020,S12000035,880,12
28/12/2020,W06000022,7934,159
28/12/2020,E08000019,29456,197
28/12/2020,W06000009,2083,39
28/12/2020,E06000022,4708,103
28/12/2020,E10000013,12481,270
28/12/2020,W06000021,2990,46
28/12/2020,S12000006,1574,99
28/12/2020,W06000001,1146,14
28/12/2020,N09000005,8386,123
28/12/2020,W06000023,2396,33
28/12/2020,W06000006,6334,129
28/12/2020,S12000050,12103,160
28/12/2020,E08000032,33261,152
28/12/2020,E08000028,16317,231
28/12/2020,W06000013,9296,198
28/12/2020,E09000019,7931,200
28/12/2020,W06000018,10077,167
28/12/2020,S12000017,1116,26
28/12/2020,S12000018,1403,48
28/12/2020,W06000024,5310,58
28/12/2020,E08000014,12117,152
28/12/2020,N09000004,4478,96
28/12/2020,S12000042,4131,72
28/12/2020,E08000009,10399,114
28/12/2020,W06000003,2223,39
28/12/2020,W06000002,1739,13
28/12/2020,E10000030,35765,1062
28/12/2020,S12000028,2382,16
28/12/2020,E06000044,7319,205
28/12/2020,N09000009,6377,153
28/12/2020,S12000026,1501,53
28/12/2020,S12000008,3344,51
28/12/2020,S12000038,5916,91
28/12/2020,W06000020,4602,81
28/12/2020,E06000051,7230,139
28/12/2020,N09000003,14168,179
28/12/2020,E08000008,11766,66
28/12/2020,S12000045,3098,33
28/12/2020,E06000027,2269,19
28/12/2020,N09000002,7011,174
28/12/2020,E08000007,12655,132
28/12/2020,W06000005,4875,104
28/12/2020,N09000010,5856,144
28/12/2020,E06000031,7292,109
28/12/2020,S12000039,2493,21
28/12/2020,E06000046,1638,97
28/12/2020,E06000006,5675,84
28/12/2020,E09000006,13225,444
28/12/2020,E08000029,7809,114
28/12/2020,E06000014,7032,134
28/12/2020,S12000034,2846,69
28/12/2020,E08000021,17512,82
28/12/2020,E06000005,4339,72
28/12/2020,E08000018,13471,81
28/12/2020,E06000026,5270,89
28/12/2020,E08000036,16133,135
28/12/2020,E08000002,11630,113
28/12/2020,S12000023,39,0
28/12/2020,E10000028,34387,410
28/12/2020,W06000010,7535,117
28/12/2020,S12000036,10191,170
28/12/2020,S12000047,6142,99
28/12/2020,E09000005,12758,349
28/12/2020,S12000040,4291,45
28/12/2020,E08000034,22381,161
28/12/2020,E06000037,3248,96
28/12/2020,S12000020,403,7
28/12/2020,W06000012,9036,103
28/12/2020,E06000020,5328,73
28/12/2020,E09000010,15921,503
28/12/2020,E08000016,12374,106
28/12/2020,E09000013,6783,187
28/12/2020,E09000026,18151,507
28/12/2020,S12000005,1094,15
28/12/2020,E06000040,4396,120
28/12/2020,E06000055,6182,168
28/12/2020,E06000025,8428,145
28/12/2020,S12000029,11686,114
28/12/2020,S12000033,4029,87
28/12/2020,S12000010,1636,27
28/12/2020,W06000004,2534,83
28/12/2020,S12000030,1718,22
28/12/2020,S12000021,3333,49
28/12/2020,E10000019,25099,273
28/12/2020,W06000019,4987,61
28/12/2020,E09000029,7807,250
28/12/2020,W06000014,4986,96
28/12/2020,S12000013,94,0
28/12/2020,E08000022,8121,78
28/12/2020,E06000013,6084,55
28/12/2020,E09000020,4804,151
28/12/2020,E06000030,5768,131
28/12/2020,E09000017,12541,312
28/12/2020,E08000015,12095,243
28/12/2020,W06000008,1213,31
28/12/2020,E06000007,10199,144
28/12/2020,E09000015,10429,284
28/12/2020,S12000027,109,13
28/12/2020,W06000016,17014,216
28/12/2020,S12000048,2319,30
28/12/2020,E08000004,16680,90
28/12/2020,E09000030,15886,467
28/12/2020,E06000021,12681,82
28/12/2020,E06000057,11084,146
28/12/2020,S12000011,2799,39
28/12/2020,E08000010,19154,113
28/12/2020,E06000038,5076,113
28/12/2020,E06000010,12862,121
28/12/2020,E06000047,23898,317
28/12/2020,E10000007,27371,387
28/12/2020,E08000033,9633,64
28/12/2020,W06000015,19276,262
28/12/2020,E10000025,16962,488
28/12/2020,E06000009,6220,51
28/12/2020,E08000011,8793,74
28/12/2020,E09000009,14069,303
28/12/2020,S12000049,24547,247
28/12/2020,E10000015,37894,1127
28/12/2020,E06000035,16363,361
28/12/2020,E10000024,30576,468
28/12/2020,E10000006,13703,255
28/12/2020,E06000059,4655,117
28/12/2020,E08000027,13946,173
28/12/2020,E08000023,7525,79
28/12/2020,E10000002,15411,450
28/12/2020,E10000018,25842,342
28/12/2020,E08000017,14751,145
28/12/2020,E06000034,9763,362
28/12/2020,E06000008,11588,105
28/12/2020,E08000037,9197,96
28/12/2020,E10000011,14176,424
28/12/2020,E09000031,13364,374
28/12/2020,E06000042,9895,314
28/12/2020,E06000015,10306,187
28/12/2020,E09000033,7540,181
28/12/2020,E06000024,5731,136
28/12/2020,E08000003,35611,262
28/12/2020,E06000043,6691,222
28/12/2020,E06000033,7774,260
28/12/2020,E09000027,6060,178
28/12/2020,E08000012,27345,245
28/12/2020,E10000012,57799,2064
28/12/2020,S12000041,1563,23
28/12/2020,E09000012,11847,303
28/12/2020,E09000008,14687,433
28/12/2020,S12000019,1862,21
28/12/2020,E10000029,13153,505
28/12/2020,E09000016,16279,330
28/12/2020,E09000011,10713,394
28/12/2020,E08000030,12433,188
28/12/2020,E06000016,21927,203
28/12/2020,E10000027,9400,315
28/12/2020,E10000020,18128,619
28/12/2020,E08000031,11927,217
28/12/2020,E06000017,713,10
28/12/2020,E06000002,7002,95
28/12/2020,E08000005,14701,91
28/12/2020,E06000032,9763,177
28/12/2020,E10000016,68821,1514
28/12/2020,E08000001,17096,83
28/12/2020,E06000049,11995,195
28/12/2020,E09000024,8158,249
28/12/2020,E08000013,8857,84
28/12/2020,E10000032,16945,749
28/12/2020,E10000023,17188,289
